Sample	Selection	Treatment	group	batch
L1H-15-3H	H	H	H.H	NS119
L2D-3-3H	D	H	D.H	NS119
L2D-3-4H	D	H	D.H	NS119
L1HD-3-4CT	HD	CT	HD.CT	NS119
L1HD-3-4HD	HD	HD	HD.HD	NS119
L3HD-4-4CT	HD	CT	HD.CT	NS119
L3HD-4-4HD	HD	HD	HD.HD	NS119
L6D-5-2CT	D	CT	D.CT	NS119
L6D-5-2D	D	D	D.D	NS119
L3HD-4-4H	HD	H	HD.H	NS119
L2HD-8-2H	HD	H	HD.H	NS119
L2HD-8-3H	HD	H	HD.H	NS119
L5CT-2-4H	CT	H	CT.H	NS119
L4CT-16-4CT	CT	CT	CT.CT	NS119
L4CT-16-4HD	CT	HD	CT.HD	NS119
L1D-7-2H	D	H	D.H	NS119
L1D-7-3H	D	H	D.H	NS119
L2D-3-4CT	D	CT	D.CT	NS119
L2D3-1H	D	H	D.H	NS119
L6D-5-3CT	D	CT	D.CT	NS119
L5H-13-4H	H	H	H.H	NS119
L2H-8-3H	H	H	H.H	NS209
M3CT-11-1CT	CT	CT	CT.CT	NS209
M1HD-3-1HD	HD	HD	HD.HD	NS209
M1HD-3-1CT	HD	CT	HD.CT	NS209
L6HD-12-4CT	HD	CT	HD.CT	NS209
L6HD-12-4HD	HD	HD	HD.HD	NS209
L6HD-12-3HD	HD	HD	HD.HD	NS209
L5D-3-3CT	D	CT	D.CT	NS209
L6CT-8-4HD	CT	HD	CT.HD	NS209
L3CT-5-4D	CT	D	CT.D	NS209
L6CT-8-4CT	CT	CT	CT.CT	NS209
L6CT-8-2HD	CT	HD	CT.HD	NS209
L3CT-5-2D	CT	D	CT.D	NS209
L3CT-5-2CT	CT	CT	CT.CT	NS209
L3CT-5-1H	CT	H	CT.H	NS209
L3CT-5-3H	CT	H	CT.H	NS209
L5HD-4-2HD	HD	HD	HD.HD	NS209
L5HD-4-3CT	HD	CT	HD.CT	NS209
L6HD-12-2HD	HD	HD	HD.HD	NS209
L2H-9-2CT	H	CT	H.CT	NS209
L3H-8-2H	H	H	H.H	NS209
L3CT-5-3CT	CT	CT	CT.CT	NS209
L3CT-5-2HD	CT	HD	CT.HD	NS209
L3CT-5-4HD	CT	HD	CT.HD	NS209
L5D-3-1CT	D	CT	D.CT	NS209
L5D-3-4D	D	D	D.D	NS209
L2H-8-2H	H	H	H.H	NS209
L2H-8-4CT	H	CT	H.CT	NS209
M1HD-3-2CT	HD	CT	HD.CT	NS209
L5HD-4-1CT	HD	CT	HD.CT	NS209
L5HD-4-4HD	HD	HD	HD.HD	NS209
L5HD-4-3HD	HD	HD	HD.HD	NS209
L5HD-4-4CT	HD	CT	HD.CT	NS209
L3H-15-4CT	H	CT	H.CT	NS209
L3H-8-1H	H	H	H.H	NS210
L3H-15-2CT	H	CT	H.CT	NS210
L6HD-12-1CT	HD	CT	HD.CT	NS210
M1HD-3-2HD	HD	HD	HD.HD	NS210
M1HD-3-3CT	HD	CT	HD.CT	NS210
M3CT-11-3CT	CT	CT	CT.CT	NS210
L3CT-5-3D	CT	D	CT.D	NS210
L3CT-5-2H	CT	H	CT.H	NS210
L3CT-5-1CT	CT	CT	CT.CT	NS210
L3CT-5-3HD	CT	HD	CT.HD	NS210
L2H-8-1H	H	H	H.H	NS210
L2H-8-3CT	H	CT	H.CT	NS210
L6CT-8-2CT	CT	CT	CT.CT	NS210
M3CT-11-1HD	CT	HD	CT.HD	NS210
M3CT-11-4HD	CT	HD	CT.HD	NS210
L3H-15-1H	H	H	H.H	NS210
L3H-15-3CT	H	CT	H.CT	NS210
L2H8-4H	H	H	H.H	NS210
L5HD-4-1HD	HD	HD	HD.HD	NS210
L5HD-4-2CT	HD	CT	HD.CT	NS210
L6HD-12-1HD	HD	HD	HD.HD	NS210
L6HD-12-2CT	HD	CT	HD.CT	NS210
M1HD-3-3HD	HD	HD	HD.HD	NS210
M1HD-3-4CT	HD	CT	HD.CT	NS210
M2HD-5-2CT	HD	CT	HD.CT	NS210
L5D-3-1D	D	D	D.D	NS210
L5D-3-4CT	D	CT	D.CT	NS210
L3H-15-3H	H	H	H.H	NS210
L6HD-12-3CT	HD	CT	HD.CT	NS210
L6CT-8-2D	CT	D	CT.D	NS210
L6CT-8-4D	CT	D	CT.D	NS210
L6CT-8-4H	CT	H	CT.H	NS210
L3CT-5-1HD	CT	HD	CT.HD	NS210
L6CT-8-3HD	CT	HD	CT.HD	NS212
M1CT-1-3HD	CT	HD	CT.HD	NS212
M1CT-1-1CT	CT	CT	CT.CT	NS212
M1CT-1-3CT	CT	CT	CT.CT	NS212
L5D-3-2D	D	D	D.D	NS212
M2HD-5-2HD	HD	HD	HD.HD	NS212
M1CT-1-4CT	CT	CT	CT.CT	NS212
M1CT-1-1HD	CT	HD	CT.HD	NS212
M1CT-1-4HD	CT	HD	CT.HD	NS212
M2HD-5-3HD	HD	HD	HD.HD	NS212
L6CT-8-1D	CT	D	CT.D	NS212
M1CT-1-2CT	CT	CT	CT.CT	NS212
L6CT-8-1_HD	CT	HD	CT.HD	NS212
M2HD-5-1CT	HD	CT	HD.CT	NS212
M2HD-5-4HD	HD	HD	HD.HD	NS212
M2HD-5-4CT	HD	CT	HD.CT	NS212
M3CT-11-2CT	CT	CT	CT.CT	NS212
L3CT-5-1D	CT	D	CT.D	NS212
L3-CT-5-4H	CT	H	CT.H	NS212
L6CT-8-3D	CT	D	CT.D	NS212
L6CT-8-1H	CT	H	CT.H	NS212
M1HD-3-4HD	HD	HD	HD.HD	NS212
M2HD-5-1HD	HD	HD	HD.HD	NS212
M2HD-5-3CT	HD	CT	HD.CT	NS212
L5-D-3-3D	D	D	D.D	NS212
L5D-3-2CT	D	CT	D.CT	NS212
M3CT-11-3HD	CT	HD	CT.HD	NS212
L3H-15-1CT	H	CT	H.CT	NS212
L2H-8-2CT	H	CT	H.CT	NS212
L6CT-8-3H	CT	H	CT.H	NS212
M1CT-1-2HD	CT	HD	CT.HD	NS212
L6CT-8-1CT	CT	CT	CT.CT	NS212
L6CT-8-3CT	CT	CT	CT.CT	NS212
